gender raceethnicity parental_level_of_education lunch test_preparation_course math_score
female group_D some_college freereduced none 7
male group_C associates_degree standard none 7
female group_B associates_degree standard none 6
male group_C some_college standard none 6
male group_D some_high_school standard completed 7
male group_E bachelors_degree standard none 8
male group_E high_school standard completed 8
female group_B some_college freereduced none 7
female group_B some_college freereduced none 6
male group_D some_high_school freereduced completed 8
male group_C some_college freereduced none 4
female group_C high_school freereduced none 4
male group_C associates_degree freereduced completed 6
male group_E high_school standard completed 9
male group_B some_high_school standard completed 8
female group_E associates_degree freereduced completed 8
female group_C high_school freereduced none 3
male group_B high_school freereduced none 7
male group_B some_high_school standard completed 6
female group_D high_school standard completed 6
male group_B associates_degree standard none 9
female group_C some_high_school freereduced none 6
male group_D some_high_school standard none 9
female group_B associates_degree standard completed 5
female group_E masters_degree freereduced none 5
female group_C some_college standard none 7
male group_D high_school standard none 6
male group_A some_high_school freereduced none 7
female group_C some_college standard completed 9
male group_D some_college standard none 8
male group_C associates_degree standard none 5
female group_B bachelors_degree standard none 7
male group_E some_high_school standard none 9
male group_C bachelors_degree standard completed 8
male group_D associates_degree standard none 8
male group_D bachelors_degree freereduced none 6
female group_D some_high_school standard completed 6
male group_B some_college standard none 5
male group_C associates_degree standard none 8
male group_D high_school freereduced completed 7
female group_E bachelors_degree standard none 8
female group_D high_school standard none 6
male group_E some_college standard none 6
male group_D some_high_school standard none 8
male group_C associates_degree standard none 9
male group_E associates_degree standard none 9
female group_B high_school standard completed 6
female group_B high_school standard none 7
male group_C high_school standard none 7
male group_A some_high_school standard completed 5
female group_D some_college freereduced none 7
female group_B some_high_school standard completed 6
male group_D masters_degree standard none 8
male group_D high_school standard none 5
female group_E some_college standard none 6
female group_C associates_degree freereduced none 6
male group_C associates_degree standard completed 8
female group_B some_college standard none 7
female group_C masters_degree freereduced completed 7
female group_C some_high_school freereduced completed 6
male group_C some_college standard completed 8
female group_C some_high_school freereduced none 4
female group_E high_school standard none 10
male group_D high_school standard none 8
male group_D some_high_school freereduced none 6
female group_C bachelors_degree standard none 6
female group_D high_school standard none 7
female group_D associates_degree standard completed 9
female group_E some_college freereduced none 7
male group_C bachelors_degree standard none 7
male group_C some_college standard none 6
female group_D associates_degree freereduced none 5
female group_D some_college standard none 7
male group_B some_college standard completed 9
male group_C bachelors_degree standard none 8
female group_C some_high_school standard completed 9
female group_E high_school standard completed 6
female group_C some_high_school freereduced none 7
male group_B bachelors_degree freereduced none 7
male group_D high_school standard none 5
male group_D high_school standard none 5
female group_D bachelors_degree freereduced none 7
female group_D some_college freereduced completed 7
female group_B some_high_school standard none 4
male group_B associates_degree standard completed 8
male group_E associates_degree standard completed 10
female group_B some_high_school standard none 7
male group_B bachelors_degree freereduced none 9
male group_E some_high_school standard completed 8
male group_C associates_degree standard none 8
male group_D some_high_school standard none 9
male group_C some_high_school standard completed 6
female group_E bachelors_degree standard none 7
male group_D high_school freereduced completed 8
male group_B associates_degree freereduced none 7
male group_A some_high_school standard completed 5
male group_E associates_degree standard completed 7
male group_C high_school freereduced completed 4
male group_D associates_degree freereduced none 9
male group_A some_college freereduced completed 8
male group_D some_high_school freereduced none 6
female group_C associates_degree standard completed 7
male group_B associates_degree standard none 8
female group_C associates_degree standard completed 7
male group_A some_college standard none 7
male group_E some_college standard completed 10
male group_C some_high_school standard none 5
female group_B associates_degree freereduced none 5
female group_D high_school freereduced none 5
female group_B associates_degree standard none 7
male group_B bachelors_degree standard none 7
male group_D bachelors_degree standard completed 7
female group_C associates_degree freereduced completed 7
female group_C bachelors_degree standard completed 6
male group_C high_school standard none 7
female group_D masters_degree standard completed 8
male group_C associates_degree standard none 8
male group_B bachelors_degree standard none 6
female group_D associates_degree freereduced none 6
female group_C high_school freereduced completed 7
female group_E high_school standard none 8
female group_C some_college standard none 7
female group_C some_high_school freereduced none 4
female group_C high_school freereduced none 4
female group_C some_college standard none 8
male group_C some_college standard none 6
male group_A some_college freereduced none 3
male group_C associates_degree standard completed 8
female group_B some_high_school standard none 4
male group_C high_school standard none 7
male group_C associates_degree standard none 5
male group_E associates_degree standard completed 6
male group_B associates_degree standard none 9
female group_C bachelors_degree standard none 8
female group_B some_college freereduced none 6
male group_D some_high_school standard completed 8
male group_C associates_degree standard none 5
female group_B some_high_school freereduced none 2
female group_D some_high_school freereduced completed 4
male group_C high_school freereduced none 6
female group_C high_school standard none 6
female group_B high_school standard completed 7
male group_D associates_degree standard completed 7
male group_D some_college standard none 8
female group_C high_school standard none 7
male group_B some_college standard none 6
female group_C bachelors_degree standard completed 8
male group_D high_school freereduced none 8
male group_E associates_degree standard none 9
female group_B bachelors_degree standard none 5
male group_E some_college standard none 7
female group_C some_college standard completed 6
female group_C associates_degree standard none 5
female group_C some_college standard none 6
female group_B bachelors_degree standard none 6
male group_A associates_degree standard none 6
female group_C some_college freereduced completed 4
male group_D some_college freereduced none 6
female group_D some_college standard none 8
female group_B high_school standard none 6
male group_B some_high_school standard completed 9
female group_C some_college standard none 5
female group_D some_high_school freereduced none 3
male group_C some_college standard none 6
male group_A bachelors_degree freereduced completed 5
male group_C high_school standard completed 7
male group_C bachelors_degree freereduced none 6
female group_A some_high_school freereduced none 4
female group_D some_high_school standard none 7
male group_E some_college standard none 8
female group_C some_college freereduced completed 5
male group_D some_high_school standard none 7
female group_D some_college standard completed 8
female group_D bachelors_degree standard none 6
male group_E associates_degree freereduced none 5
female group_D some_high_school standard none 8
female group_D masters_degree freereduced completed 9
female group_A some_high_school standard none 7
male group_A bachelors_degree standard none 7
female group_B associates_degree standard none 8
male group_C associates_degree standard completed 9
male group_C masters_degree freereduced none 8
female group_E some_high_school freereduced none 4
female group_A some_high_school freereduced none 4
female group_E some_college standard none 7
female group_E bachelors_degree standard none 6
female group_C associates_degree freereduced none 6
female group_D high_school standard none 6
male group_D masters_degree standard none 7
male group_E some_high_school freereduced completed 7
female group_D some_college standard none 8
male group_E some_college standard none 8
male group_C associates_degree standard completed 6
female group_C some_high_school standard completed 7
male group_A high_school freereduced none 5
female group_B high_school freereduced none 5
female group_C associates_degree standard none 9
male group_B some_high_school standard none 7
male group_D some_high_school standard none 6
female group_C some_high_school standard completed 6
male group_A some_college standard none 5
female group_A some_college freereduced none 5
female group_D high_school standard completed 9
female group_C high_school standard none 5
female group_C some_high_school standard none 6
male group_B associates_degree standard completed 7
female group_B associates_degree standard none 8
female group_D high_school freereduced completed 5
male group_D associates_degree standard completed 9
female group_D masters_degree standard completed 7
male group_E some_college standard completed 8
male group_D associates_degree standard none 7
male group_B some_high_school standard completed 6
female group_C bachelors_degree freereduced completed 5
male group_E high_school standard none 8
male group_C bachelors_degree standard completed 7
male group_C associates_degree standard none 7
male group_D some_college standard none 7
male group_E high_school freereduced completed 6
female group_C associates_degree freereduced completed 8
female group_D high_school standard completed 6
female group_D masters_degree freereduced completed 5
female group_A some_high_school standard completed 6
male group_B some_college freereduced none 4
female group_C some_college freereduced none 6
male group_C bachelors_degree standard none 9
male group_C some_high_school freereduced none 7
male group_A some_high_school freereduced none 7
male group_C some_high_school freereduced none 7
male group_C associates_degree freereduced none 6
female group_C high_school standard none 6
male group_C high_school standard none 6
female group_A some_high_school freereduced none 5
male group_C some_high_school standard none 7
male group_C some_college freereduced completed 5
male group_D associates_degree standard none 8
male group_D associates_degree freereduced none 8
male group_C high_school standard none 7
male group_D some_high_school standard completed 9
female group_C some_college standard completed 7
female group_D high_school standard none 8
female group_A some_high_school freereduced none 6
female group_B associates_degree standard none 7
male group_A some_high_school freereduced none 8
female group_C some_high_school standard completed 7
male group_D some_college freereduced none 7
male group_C high_school standard completed 9
male group_B high_school standard none 5
male group_B associates_degree standard none 8
female group_C some_college freereduced completed 6
female group_E some_college standard none 10
female group_C associates_degree freereduced none 7
male group_C some_college freereduced none 7
female group_C associates_degree freereduced none 5
male group_C bachelors_degree freereduced none 4
female group_D bachelors_degree standard none 8
male group_D associates_degree freereduced none 5
female group_E bachelors_degree standard none 10
male group_B high_school standard completed 7
male group_C bachelors_degree freereduced none 5
male group_B some_college freereduced none 5
female group_E some_college standard none 7
female group_C some_college freereduced none 8
male group_A bachelors_degree standard completed 8
female group_C some_college standard none 8
female group_D associates_degree freereduced none 3
male group_A high_school freereduced completed 7
female group_A high_school freereduced completed 8
male group_C some_college standard none 9
female group_C associates_degree standard completed 8
female group_C high_school standard none 6
female group_C associates_degree standard completed 7
female group_D some_high_school standard none 6
female group_B associates_degree standard completed 9
female group_D bachelors_degree standard completed 7
male group_E bachelors_degree standard completed 8
male group_D associates_degree standard none 8
female group_D masters_degree standard none 6
male group_E associates_degree standard none 8
male group_B high_school standard completed 7
female group_D associates_degree freereduced none 5
male group_C some_college freereduced none 7
male group_A high_school standard none 6
female group_B associates_degree standard none 5
male group_C high_school standard none 7
male group_D some_college freereduced none 6
female group_C associates_degree freereduced none 6
male group_B some_high_school standard completed 6
male group_A associates_degree freereduced completed 8
female group_A associates_degree freereduced none 7
female group_C associates_degree standard none 6
female group_C some_college standard none 8
female group_C bachelors_degree standard none 8
female group_B high_school standard none 5
male group_D high_school standard completed 7
female group_C some_college standard none 5
female group_D some_college freereduced completed 6
female group_B some_high_school standard none 7
male group_E some_college standard none 8
female group_D masters_degree standard none 7
female group_B associates_degree standard completed 9
male group_C some_college freereduced none 6
female group_E associates_degree standard completed 10
female group_D masters_degree freereduced none 4
female group_B some_high_school standard none 8
male group_A high_school standard none 7
male group_B bachelors_degree freereduced none 6
male group_C masters_degree standard none 8
female group_C bachelors_degree standard none 9
male group_D some_college standard none 8
male group_A some_high_school standard none 6
male group_D some_high_school freereduced none 6
female group_B some_high_school standard completed 5
female group_B masters_degree freereduced completed 8
female group_C some_high_school standard completed 8
female group_D some_college standard none 7
female group_E some_college standard completed 7
female group_D some_high_school standard completed 7
female group_B high_school freereduced completed 7
male group_D some_college standard none 7
female group_C associates_degree standard none 9
male group_D bachelors_degree standard none 7
male group_C masters_degree freereduced none 5
male group_C high_school standard completed 5
male group_E some_college standard none 7
male group_C some_high_school freereduced completed 6
female group_C high_school freereduced none 4
female group_D bachelors_degree freereduced none 3
female group_C associates_degree standard none 6
female group_C associates_degree standard completed 7
female group_C some_high_school standard none 5
male group_E associates_degree standard completed 6
female group_E associates_degree standard completed 8
male group_B high_school standard completed 7
female group_C bachelors_degree freereduced completed 7
male group_C associates_degree standard completed 5
female group_D high_school standard none 5
male group_E bachelors_degree standard completed 9
male group_A associates_degree standard completed 10
male group_C high_school standard completed 8
male group_D associates_degree freereduced completed 8
female group_C associates_degree standard none 8
female group_D associates_degree standard none 8
female group_D masters_degree standard none 6
male group_E some_high_school freereduced completed 8
female group_A some_high_school standard completed 9
male group_C high_school standard completed 7
female group_C high_school freereduced none 6
male group_C masters_degree standard none 8
male group_C some_high_school freereduced none 8
male group_B bachelors_degree freereduced completed 9
female group_B associates_degree standard none 4
male group_D some_college freereduced none 8
male group_E associates_degree standard none 5
female group_C some_college freereduced none 3
female group_C associates_degree standard completed 6
male group_C masters_degree freereduced none 6
female group_B associates_degree freereduced none 5
male group_D some_high_school standard none 7
female group_D some_college standard completed 7
female group_C some_college standard none 6
male group_C bachelors_degree standard completed 10
female group_D some_college freereduced completed 6
male group_B bachelors_degree freereduced none 5
male group_B associates_degree standard none 5
female group_E bachelors_degree freereduced completed 9
female group_D masters_degree freereduced completed 6
male group_B high_school freereduced none 6
male group_D bachelors_degree freereduced none 7
male group_B some_college standard completed 7
male group_A bachelors_degree standard none 9
female group_C some_college standard none 5
female group_C high_school freereduced completed 5
female group_E high_school standard none 7
male group_A associates_degree freereduced completed 4
male group_A some_college standard completed 6
female group_B high_school standard none 8
female group_B some_college freereduced completed 5
female group_D masters_degree standard none 5
female group_D some_high_school standard none 8
female group_E some_high_school standard none 8
female group_D bachelors_degree freereduced none 6
female group_D associates_degree standard completed 7
female group_D some_college standard none 7
female group_C associates_degree standard none 7
female group_A high_school standard none 6
female group_C bachelors_degree freereduced none 4
female group_C some_college standard none 5
female group_A some_high_school standard none 5
male group_C some_college freereduced none 6
male group_A some_high_school standard none 7
male group_E bachelors_degree standard none 7
female group_E high_school standard none 7
female group_C bachelors_degree standard completed 9
female group_C bachelors_degree standard completed 6
male group_B high_school freereduced none 3
male group_A some_high_school standard none 5
female group_D high_school standard none 7
female group_D some_high_school standard none 7
female group_D masters_degree standard none 5
female group_C high_school standard none 3
female group_E some_college standard none 8
male group_D high_school freereduced none 6
male group_D masters_degree freereduced completed 8
male group_C some_high_school standard none 8
female group_C associates_degree standard none 9
female group_C masters_degree freereduced none 4
female group_E some_college standard none 6
female group_B associates_degree standard none 6
male group_D some_college freereduced completed 7
female group_C some_college standard none 6
male group_C bachelors_degree standard completed 9
female group_C associates_degree standard none 7
female group_A associates_degree standard none 8
female group_C high_school standard none 6
female group_E bachelors_degree standard none 4
male group_D bachelors_degree standard none 9
male group_D masters_degree standard none 10
male group_C associates_degree freereduced completed 7
female group_C high_school freereduced none 4
male group_B bachelors_degree freereduced none 6
male group_C high_school freereduced completed 6
male group_A some_college standard completed 10
female group_E bachelors_degree freereduced none 6
male group_D some_college standard completed 10
male group_B associates_degree freereduced completed 7
male group_D associates_degree standard none 6
male group_D some_college freereduced none 5
female group_C some_high_school standard completed 4
male group_D some_college standard none 7
male group_B high_school standard none 8
female group_B bachelors_degree standard completed 7
female group_C high_school standard none 8
male group_D some_high_school standard none 8
male group_A high_school standard none 7
female group_B high_school freereduced completed 7
female group_D some_high_school standard completed 8
male group_E some_college standard none 9
female group_D associates_degree standard none 8
male group_D high_school standard none 4
female group_D associates_degree freereduced completed 7
female group_B some_high_school freereduced none 7
female group_E high_school standard completed 7
male group_B high_school standard none 7
female group_B bachelors_degree standard completed 7
female group_D associates_degree standard none 6
female group_E high_school freereduced none 6
female group_B high_school standard none 5
female group_D some_college standard completed 7
male group_C some_high_school freereduced completed 5
female group_A high_school standard completed 7
female group_D some_college standard completed 9
female group_A associates_degree standard completed 7
female group_B some_high_school standard none 7
female group_B some_college standard none 6
male group_C associates_degree freereduced none 8
male group_D some_high_school standard none 7
female group_D associates_degree freereduced none 4
male group_D associates_degree standard none 9
male group_C some_college freereduced none 7
male group_C some_high_school standard none 7
female group_D some_college freereduced none 6
female group_C high_school standard none 7
male group_D associates_degree standard none 8
female group_C some_high_school freereduced completed 5
female group_C some_college freereduced completed 6
female group_B bachelors_degree freereduced none 8
male group_C some_college standard none 7
male group_D associates_degree standard completed 8
female group_C high_school freereduced none 7
male group_D associates_degree freereduced none 5
female group_C some_college standard none 7
female group_C associates_degree standard completed 7
female group_D high_school standard completed 7
female group_B some_college standard completed 5
female group_E some_college standard completed 7
female group_C some_high_school standard completed 7
male group_D associates_degree freereduced none 8
male group_D some_college freereduced none 6
female group_D high_school standard none 7
male group_B high_school standard none 6
male group_B high_school standard none 6
female group_C some_high_school freereduced completed 3
male group_B some_college standard completed 6
female group_E masters_degree standard completed 9
male group_E some_college standard completed 9
male group_D associates_degree freereduced none 8
male group_A high_school freereduced none 5
male group_E some_college freereduced none 9
female group_C associates_degree standard none 5
female group_E associates_degree freereduced none 7
female group_C bachelors_degree freereduced completed 7
female group_D associates_degree standard none 8
female group_C some_high_school standard none 5
female group_D some_college freereduced none 8
female group_C associates_degree standard completed 8
female group_A bachelors_degree standard none 6
female group_D associates_degree standard completed 6
male group_C high_school freereduced none 7
female group_E bachelors_degree standard completed 8
female group_B some_high_school standard none 6
male group_A bachelors_degree standard completed 9
female group_D some_college standard none 6
female group_B some_high_school freereduced completed 6
male group_A bachelors_degree freereduced none 6
male group_D high_school standard none 5
male group_C some_college standard none 7
male group_D high_school standard none 9
female group_D associates_degree freereduced completed 4
male group_C some_college standard completed 9
female group_E some_high_school standard completed 8
female group_D some_college standard none 10
male group_D masters_degree standard none 8
female group_B some_high_school standard completed 6
female group_B associates_degree freereduced completed 8
male group_C associates_degree standard completed 7
female group_C associates_degree standard completed 10
female group_C high_school standard none 8
male group_E associates_degree freereduced completed 9
female group_C some_college freereduced none 6
male group_D some_high_school freereduced completed 6
female group_B some_high_school freereduced completed 7
male group_C high_school standard none 5
male group_B some_college standard none 5
male group_E some_college standard completed 8
female group_E associates_degree standard completed 7
male group_E some_high_school standard completed 7
female group_D high_school freereduced none 7
male group_C some_college standard none 5
female group_B associates_degree freereduced completed 7
male group_A some_high_school freereduced none 6
female group_C some_college standard completed 9
male group_D some_high_school standard none 6
female group_E some_college freereduced none 5
male group_C masters_degree standard none 7
male group_C associates_degree standard none 9
female group_B some_college freereduced completed 5
male group_D associates_degree standard none 8
male group_C high_school freereduced none 6
male group_D bachelors_degree standard none 8
female group_A associates_degree freereduced none 4
female group_C high_school standard none 8
female group_C associates_degree standard completed 6
male group_B some_college freereduced none 6
male group_D associates_degree standard none 7
male group_D high_school standard none 7
male group_C some_college standard none 7
female group_C bachelors_degree freereduced none 5
male group_B some_college standard completed 9
male group_D some_high_school standard completed 7
male group_E some_college standard none 7
male group_C masters_degree freereduced completed 8
female group_C some_high_school standard completed 8
male group_C associates_degree freereduced none 6
female group_E associates_degree standard none 8
male group_D some_college standard none 6
male group_E bachelors_degree freereduced completed 7
female group_D some_college freereduced completed 5
male group_B some_college standard completed 7
female group_C high_school freereduced none 5
female group_D some_high_school standard none 5
male group_D some_high_school standard completed 8
female group_B high_school standard none 6
male group_D some_college standard none 6
female group_B high_school standard none 7
female group_C high_school standard completed 6
male group_B high_school standard completed 8
female group_D some_high_school standard none 7
male group_A some_college freereduced none 6
male group_B high_school standard none 5
male group_D bachelors_degree standard none 8
female group_B some_high_school freereduced completed 5
female group_C bachelors_degree freereduced none 6
male group_B some_college standard none 7
female group_B some_high_school freereduced none 5
female group_B high_school standard none 7
female group_C some_college freereduced none 4
female group_A some_college standard completed 7
male group_E associates_degree standard completed 9
female group_D associates_degree freereduced none 5
female group_B masters_degree standard none 8
female group_B high_school freereduced completed 8
female group_C associates_degree standard completed 5
male group_C bachelors_degree standard completed 9
female group_B some_high_school standard completed 3
female group_E some_high_school freereduced none 7
female group_B some_college standard none 2
male group_C associates_degree freereduced none 7
female group_C masters_degree freereduced none 5
female group_B high_school standard none 5
female group_D some_college freereduced none 6
male group_D high_school freereduced none 7
male group_E some_high_school standard completed 9
female group_B high_school standard none 4
female group_E associates_degree freereduced completed 6
male group_D high_school standard none 7
female group_E associates_degree freereduced none 7
male group_E some_college standard none 7
female group_C associates_degree standard none 5
male group_C some_high_school standard completed 7
male group_C some_high_school standard completed 8
female group_E associates_degree standard none 9
female group_B some_college standard none 8
female group_C some_college standard none 7
male group_A some_college freereduced none 8
female group_D some_college freereduced none 6
female group_E high_school freereduced none 4
male group_C high_school standard none 9
male group_B bachelors_degree standard none 6
male group_A some_high_school standard none 5
male group_A high_school freereduced none 5
female group_C masters_degree standard completed 5
male group_E some_high_school standard completed 9
female group_C high_school standard none 7
male group_B some_high_school standard completed 9
female group_A bachelors_degree standard none 5
male group_D bachelors_degree freereduced completed 6
female group_B high_school freereduced none 6
female group_C some_high_school standard none 8
female group_A some_high_school standard completed 9
female group_D bachelors_degree freereduced none 8
male group_E some_college freereduced completed 5
female group_B high_school freereduced none 7
female group_C some_high_school freereduced none 5
male group_C high_school standard none 6
female group_C associates_degree freereduced completed 6
female group_C some_high_school standard none 7
female group_D some_high_school freereduced completed 7
male group_B some_high_school standard none 7
female group_A some_college freereduced none 6
female group_C bachelors_degree freereduced completed 7
male group_A bachelors_degree standard none 6
female group_B high_school standard completed 8
male group_B some_college standard none 6
female group_C high_school standard completed 6
male group_E high_school standard none 7
female group_A high_school standard completed 8
male group_B associates_degree freereduced completed 6
female group_C associates_degree standard none 7
female group_D high_school freereduced none 4
male group_C some_high_school standard none 6
female group_B high_school freereduced completed 2
male group_B some_college freereduced completed 7
female group_D some_high_school freereduced completed 4
male group_E masters_degree standard none 9
male group_C masters_degree standard completed 9
male group_D high_school standard none 6
female group_C high_school standard none 6
male group_D associates_degree standard none 8
male group_C masters_degree standard none 7
female group_A high_school standard none 6
female group_E some_college standard none 9
male group_E some_high_school standard none 8
male group_C some_high_school standard none 6
female group_B bachelors_degree standard none 10
male group_B some_college freereduced none 8
female group_C bachelors_degree standard none 7
male group_B high_school standard completed 5
male group_C associates_degree freereduced none 9
female group_C associates_degree standard none 5
female group_E masters_degree freereduced none 8
male group_D bachelors_degree freereduced completed 4
female group_C some_college standard completed 7
male group_C associates_degree standard none 10
male group_D some_college standard completed 8
male group_C high_school freereduced none 6
male group_B associates_degree standard none 6
male group_E associates_degree freereduced completed 8
male group_C associates_degree freereduced none 5
male group_B high_school standard none 6
female group_C some_college standard completed 7
male group_B associates_degree standard completed 8
male group_E associates_degree freereduced none 9
female group_C bachelors_degree freereduced none 4
male group_C some_college freereduced none 8
male group_D some_college standard none 8
male group_C some_high_school standard none 6
female group_D some_high_school standard none 6
female group_D associates_degree standard none 6
male group_C bachelors_degree standard completed 6
female group_E bachelors_degree standard completed 7
female group_B high_school freereduced none 6
male group_D bachelors_degree freereduced none 6
female group_E associates_degree standard none 5
female group_C associates_degree standard completed 6
female group_E associates_degree standard completed 9
male group_C high_school freereduced none 5
female group_D some_college freereduced none 7
male group_D high_school freereduced none 4
female group_E some_college standard completed 9
female group_E associates_degree standard none 9
female group_A masters_degree freereduced none 5
male group_D some_high_school standard completed 9
female group_E associates_degree standard none 6
female group_E some_high_school freereduced none 3
male group_B high_school freereduced none 4
female group_B some_high_school freereduced completed 6
male group_D associates_degree standard completed 7
female group_D some_high_school standard completed 7
male group_D masters_degree standard none 9
